ElementName,DataDescription,StartPosition,EndPosition,DataLength,Format,Comments,ReceivedClaimFactColumnName,ReceivedClaimProcedureFactColumnName,ReceivedClaimMedicationFactColumnName
CLM_PRMRY_PYR_CD,Claim Primary Payer Code,107,107,1,X(01),"If a payer other than Medicare has primary responsibility for payment of the service indicated on the claim line, this code indicates the primary payer. This field is also known as the Line Beneficiary Primary Payer Code. If this field is blank, Medicare is the primary payer for the beneficiary. Find Primary Payer Codes here: http://www.resdac.org/cms-data/variables/Line-Beneficiary-Primary-Payer-Code","PrimaryCoverageId, SecondCoverageId","PrimaryCoverageId, SecondCoverageId",
CLM_LINE_DGNS_CD,Diagnosis Code,108,114,7,X(07),The ICD-9/10 diagnosis code identifying the beneficiary’s principal illness or disability.,,,
CLM_RNDRG_PRVDR_TAX_NUM,Claim Provider Tax Number,115,124,10,X(10),The SSN or Employee Identification Number (EIN) of the provider of the indicated service. This number identifies who receives payment for the indicated service.,,,
RNDRG_PRVDR_NPI_NUM,Rendering Provider NPI Number,125,134,10,X(10),A number that identifies the provider rendering the indicated service on the claim line. Each provider is assigned its own unique NPI.,,RenderingProviderId,
CLM_CARR_PMT_DNL_CD,Claim Carrier Payment Denial Code,135,136,2,X(02),"Indicates to whom payment was made (e.g., physician, beneficiary), or if the claim was denied. Find Carrier Payment Denial Codes here: http://www.resdac.org/sites/resdac.org/files/Carrier%20Claim%20Payment%20Denial%20Table.txt",,,
CLM_PRCSG_IND_CD,Claim-Line Processing Indicator Code,137,138,2,X(02),Indicates whether the service indicated on the claim line was allowed or the reason it was denied. Find Processing Indicator Codes here: http://www.resdac.org/sites/resdac.org/files/Line%20Processing%20Indicator%20Table.txt,,,
CLM_ADJSMT_TYPE_CD,Claim Adjustment Type Code,139,140,2,X(02),"Indicates whether the claim an original, cancelation, or adjustment claim. Claim Adjustment Type Codes are:
0=Original Claim
1=Cancelation Claim
2=Adjustment claim",,,
CLM_EFCTV_DT,Claim Effective Date,141,150,10,YYYY-MM-DD,The date the claim was processed and added to the NCH. This is also referred to as the NCH Weekly Processing Date.,,,
CLM_IDR_LD_DT,Claim IDR Load Date,151,160,10,YYYY-MM-DD,When the claim was loaded into the IDR.,,,
CLM_CNTL_NUM,Claim Control Number,161,200,40,X(40),A unique number assigned to a claim by the Medicare carrier. This number allows CMS to associate each line item with its respective claim.,,,
BENE_EQTBL_BIC_HICN_NUM,Beneficiary Equitable BIC HICN Number,201,211,11,X(11),"This number is an “umbrella” HICN that groups certain HICNs together at the beneficiary level. For example, if a beneficiary’s spouse becomes widowed, the HICN will change, but the Beneficiary Equitable BIC HICN will not. This groups the pre- and post-widow status HICNs together. Note that the ONLY use of this field is to link together claims that all represent the same event using the natural key.",,,
CLM_LINE_ALOWD_CHRG_AMT,Claim Line Allowed Charges Amount,212,228,17,"""-9(13).99""",The amount Medicare approved for payment to the provider.,TotalAllowedAmount,AllowedAmount,
CLM_LINE_ALOWD_UNIT_QTY,Claim Line Allowed Unit Quantity,229,239,11,"""-9(7).99""","Count of total units, at the line-item level, associated with services needing unit reporting (e.g., anesthesia time units and blood units).",,Quantity,
HCPCS_1_MDFR_CD,HCPCS First Modifier Code,240,241,2,X(2),The first code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,,FirstModifier,
HCPCS_2_MDFR_CD,HCPCS Second Modifier Code,242,243,2,X(2),The second code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,,SecondModifier,
HCPCS_3_MDFR_CD,HCPCS Third Modifier Code,244,245,2,X(2),The third code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,,ThirdModifier,
HCPCS_4_MDFR_CD,HCPCS Fourth Modifier Code,246,247,2,X(2),The fourth code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,,FourthModifier,
HCPCS_5_MDFR_CD,HCPCS Fifth Modifier Code,248,249,2,X(2),The fifth code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,,,
CLM_DISP_CD,Claim Disposition Code,250,251,2,X(2),"Information regarding payment actions on the claim. Claim Disposition Codes are:
01=Debit accepted
02=Debit accepted (automatic adjustment)
03=Cancel accepted",,,
CLM_DGNS_1_CD,Claim Diagnosis First Code,252,258,7,X(7),The first of eight allowable ICD-9/10 diagnosis codes identifying the beneficiary’s illness or disability.,"DiagnosisComboKey, DiagnosisProfileDim columns","DiagnosisComboKey, DiagnosisProfileDim columns",
CLM_DGNS_2_CD,Claim Diagnosis Second Code,259,265,7,X(7),The second of eight allowable ICD-9/10 diagnosis codes identifying the beneficiary’s illness or disability.,"DiagnosisComboKey, DiagnosisProfileDim columns","DiagnosisComboKey, DiagnosisProfileDim columns",
CLM_DGNS_3_CD,Claim Diagnosis Third Code,266,272,7,X(7),The third of eight allowable ICD-9/10 diagnosis codes identifying the beneficiary’s illness or disability.,"DiagnosisComboKey, DiagnosisProfileDim columns","DiagnosisComboKey, DiagnosisProfileDim columns",
CLM_DGNS_4_CD,Claim Diagnosis Fourth Code,273,279,7,X(7),The fourth of eight allowable ICD-9/10 diagnosis codes identifying the beneficiary’s illness or disability.,"DiagnosisComboKey, DiagnosisProfileDim columns","DiagnosisComboKey, DiagnosisProfileDim columns",
CLM_DGNS_5_CD,Claim Diagnosis Fifth Code,280,286,7,X(7),The fifth of eight allowable ICD-9/10 diagnosis codes identifying the beneficiary’s illness or disability.,"DiagnosisComboKey, DiagnosisProfileDim columns",DiagnosisComboKey,
CLM_DGNS_6_CD,Claim Diagnosis Sixth Code,287,293,7,X(7),The sixth of eight allowable ICD-9/10 diagnosis codes identifying the beneficiary’s illness or disability.,"DiagnosisComboKey, DiagnosisProfileDim columns",DiagnosisComboKey,
CLM_DGNS_7_CD,Claim Diagnosis Seventh Code,294,300,7,X(7),The seventh of eight allowable ICD-9/10 diagnosis codes identifying the beneficiary’s illness or disability.,DiagnosisComboKey,DiagnosisComboKey,
CLM_DGNS_8_CD,Claim Diagnosis Eighth Code,301,307,7,X(7),The eighth of eight allowable ICD-9/10 diagnosis codes identifying the beneficiary’s illness or disability.,DiagnosisComboKey,DiagnosisComboKey,
